Year,Honours List,Order,Level,Award,Name,Citation,County
2015,New Year ,Members of the Order of the Companions of Honour,CH,Companion of Honour,Rt Hon Lord Jeremy John Durham ASHDOWN GCMG KBE,For public and political service.,Somerset
2015,New Year ,Members of the Order of the Companions of Honour,CH,Companion of Honour,Sir (George) Adrian Hayhurst CADBURY DL,For services to Business and the community in the UK particularly Birmingham.,West Midlands
2015,New Year ,Members of the Order of the Companions of Honour,CH,Companion of Honour,Dame Mary Elizabeth PETERS DBE,For services to Sport and to the community in Northern Ireland.,Belfast
2015,New Year ,Members of the Order of the Companions of Honour,CH,Companion of Honour,Rt Hon Lord David Ivor YOUNG OF GRAFFHAM DL,For public service.,London
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr Theodore AGNEW DL,For services to Education.,Norfolk
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr David Anthony Andrew AMESS MP,Member of Parliament for Southend West. For political and public service.,Essex
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr Matthew David BAGGOTT CBE QPM,"Lately Chief Constable, Police Service of Northern Ireland.  For services to Policing in the United Kingdom.",West Midlands
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Professor Richard Robert BARNETT ,"Vice-Chancellor, University of Ulster.  For services to Higher Education and Business in Northern Ireland.",Londonderry
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Professor (Andrew) Jonathan BATE CBE FBA,"Literary Scholar and Provost, Worcester College, University of Oxford.  For services to Literary Scholarship and Higher Education.",Oxfordshire
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Dr Simon Fraser CAMPBELL CBE FRS,Drug Discover and Scientific Adviser.  For services to Chemistry.,Dorset
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Dr Anthony Herbert EVERINGTON OBE,"Chair, NHS Tower Hamlets Clinical Commissioning Group.  For services to Primary Care.",London
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr John Vincent HURT CBE,Actor.  For services to Drama.,Norfolk
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr Peter Ashley KENDALL ,For services to the Agricultural Industry in England and Wales.,Hertfordshire
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Professor Julian Ernest Michael LE GRAND FBA,"Richard Titmuss Professor of Social Policy, London School of Economics.  For services to Social Science and public service.",Bristol
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr Andrew Valentine MORRIS OBE,"Chief Executive, Frimley Health NHS Foundation Trust.  For services to the NHS.",Berkshire
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr Richard Leon PANIGUIAN CBE,"Head, Defence and Security Organisation, UK Trade and Investment.  For services to the UK Defence Industry.",London
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Professor Martyn POLIAKOFF CBE FRS,"Research Professor of Chemistry, University of Nottingham.  For services to the Chemical Sciences.",Nottinghamshire
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr Dickson POON CBE,For services to Business and to charity particularly Higher Education.,London
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr David Edward John RAMSDEN CBE,"Head, Government Economic Service. For services to Economic Policy Making.",London
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Professor Nilesh Jayantilal SAMANI DL,"Professor of Cardiology, University of Leicester.  For services to Medicine and Medical Research.",Leicestershire
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Professor Nigel John THRIFT FBA,"Vice-Chancellor, University of Warwick.  For services to Higher Education.",West Midlands
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr John Arthur TOWNSLEY ,"Executive Principal, The Gorse Academies Trust, Leeds.  For services to Education.",North Yorkshire
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr David John VEREY CBE,"Chair, The Art Fund.  For services to Arts Philanthropy.",London
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Professor Norman Stanley WILLIAMS ,"Past President, Royal College of Surgeons of England.  For services to Surgery.",London
2015,New Year ,Knighthoods,Kt,Knight Bachelor,Mr Thomas Philip WINSOR ,HM Chief Inspector of Constabulary.  For public service.,Kent
2015,New Year ,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr (Evan) Paul SILK ,"Lately Chair, Commission on Devolution in Wales.  For services to the Parliaments of and Devolution in the UK.",Powys
2015,New Year ,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Harold Mark CARTER ,"Deputy Legal Adviser, Legal Advisers' Branch, Treasury Solicitors.  For services to Government Legal Services and services to the community in Guildford, Surrey.",Surrey
2015,New Year ,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr David Julian COOK ,"Second Parliamentary Counsel, Office of the Parliamentary Counsel. For services to the Preparation of Legislation.",Essex
2015,New Year ,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Alison COTTRELL ,"Director, HM Treasury.  For services to Financial Services Consumers",London
2015,New Year ,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr James HARRA ,"Director General, Business Tax, HM Revenue and Customs, London.  For services to Tax Administration.",London
2015,New Year ,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Dr Andrew John MCDONALD ,For services to Parliament and voluntary service to Disability Awareness.,London
2015,New Year ,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Nicholas Christopher SHANAHAN ,"Director General, Operations, Department for Work and Pensions.  For services to Welfare Reform.",West Midlands
2015,New Year ,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Professor Christopher John MacRae WHITTY ,"Chief Scientific Adviser, Department for International Development.  For public and voluntary service to Tropical Medicine in the UK and Africa.",London
2015,New Year ,Knights Grand Cross of the Order of the British Empire,GBE,Knight Grand Cross of the Order of the British Empire,Professor Sir John Irving BELL FRS,"For services to Medicine, Medical Research and the UK Life Science Industry.",Oxfordshire
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Susan Margaret BRUCE ,"Chief Executive, City of Edinburgh Council.  For services to Local Government in Scotland.",Stirling and Falkirk
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Kate DETHRIDGE ,"Principal, Churchend Primary School, Reading and National Leader of Education.  For services to Education.",Berkshire
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Carol Ann DUFFY CBE,Poet Laureate.  For services to Poetry.,Greater Manchester
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Oremi EVANS ,"Headteacher, The Brookfield School, Herefordshire.  For services to Education.",Herefordshire
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Fiona Marie KENDRICK ,"Chair and Chief Executive Officer, Nestlé UK and Ireland.  For services to the Food and Drink Industry and to Skills Development.",Surrey
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Rt Hon Anne Catherine MCGUIRE MP,Member of Parliament for Stirling. For parliamentary and political services.,Dunbartonshire
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Joyce Evelyn PLOTNIKOFF ,"Director, Lexicon Ltd.  For services to Justice, particularly Vulnerable and Child Witnesses.",Hertfordshire
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Barbara Mary PLUNKET GREENE OBE,For services to British Fashion.,Surrey
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Esther Louise RANTZEN CBE,For services to Children and Older People through ChildLine and The Silver Line.,London
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Teresa Lesley REES CBE,"Professor of Social Science, Cardiff University and lately Director for Wales, Leadership Foundation for Higher Education. For services to Social Sciences.",South Glamorgan
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Kristin SCOTT THOMAS OBE,Actress.  For services to Drama.,London
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Eileen SILLS CBE,"Chief Nurse and Director of Patient Experience, Guy's and St. Thomas's NHS Foundation Trust.  For services to Nursing.",London
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms (Ila) Dianne THOMPSON CBE,"Lately Group Chief Executive Officer, Camelot.  For services to the National Lottery and charitable services.",Buckinghamshire
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Marina Sarah WARNER CBE FBA,"Professor, School of Arts and Humanities, University of London and Fellow, All Souls College, Oxford.  For services to Higher Education and Literary Scholarship.",London
2015,New Year ,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs (Catherine) Fiona WOOLF CBE,"Lately Lord Mayor of London.  For services to the Legal Profession, Diversity and the City of London.",Surrey
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Margaret Mary ASPINALL ,"Chair, Hillsborough Family Support Group, Liverpool.  For services to Bereaved Hillsborough Families.",Merseyside
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,His Honour Judge Brian John BARKER QC,Recorder of London.  For services to the Adminisitration of Justice and to charity.,London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Graeme William Walter BARKER FBA,"Lately Disney Professor of Archaeology and Director, McDonald Institute for Archaeological Research, University of Cambridge. For services to Archaeology.",Norfolk
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor Graham BAYLIS OBE,"Inventor and Founder, Trevor Baylis Brands plc.  For services to Intellectual Property.",Middlesex
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Martin George BEAN ,"Vice-Chancellor, The Open University.  For services to Higher Education.",Bedfordshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Virginia BEARDSHAW ,"Chief Executive, I CAN Children's Charity. For services to Children with Special Needs and Disabilities.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David John BENNETT ,"Chief Executive, Sanctuary Housing Group.  For services to Social Housing.",Herefordshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Douglas BONNEY QFSM,"Chief Officer, Hampshire Fire and Rescue Service. For services to Fire Safety.",Hampshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher BRINSMEAD ,Life Science Champion.  For services to UK Life Sciences.,Cheshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Alistair Stanyer BURNS ,National Clinical Director for Dementia.  For services to Health and Social Care particularly Dementia Care.,Cheshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James CAAN ,"Founder and Chairman, Start Up Loans Company.  For services to Entrepreneurship and charitable services through the James Caan Foundation.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Victor Manuel CHAVEZ ,"Chief Executive Officer, Thales UK Ltd.  For services to the Defence and Security Industry.",Hampshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Amanda Elizabeth CHESSELL FRENG,"Software Engineer, IBM.  For services to Engineering.",Hampshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael David Lincoln CHOWEN ,Philanthropist. For charitable services.,East Sussex
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Tina CLAPHAM ,Ministry of Defence.  For services to Defence.,London
