New Year,2009,Knighthoods,Kt,Knight Bachelor,Mr Alexander CROMBIE ,"Group Chief Executive, Standard Life.  For services to the Insurance Industry in Scotland.",Midlothian
New Year,2009,Knighthoods,Kt,Knight Bachelor,Dr Andrew CUBIE CBE,"Lately Chair of the Court, Napier University.  For public service in Scotland.",Edinburgh
New Year,2009,Knighthoods,Kt,Knight Bachelor,Prof Neil James DOUGLAS ,"President, Royal College of Physicians of Edinburgh.  For services to Medicine.",Edinburgh
New Year,2009,Knighthoods,Kt,Knight Bachelor,Mr Christopher Andrew HOY MBE,Cyclist.  For services to Sport.,Lancashire
New Year,2009,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr Nicholas MACPHERSON ,"Permanent Secretary, HM Treasury.",London
New Year,2009,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr Jonathan PHILLIPS ,"Permanent Secretary, Northern Ireland Office.",London
New Year,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Patricia Margaret ALDRED CBE,"Director-General, Deputy Head, Foreign and Defence Policy Secretariat, Cabinet Office.",London
New Year,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Prof Derek William JONES ,"Lately Senior Director, Cardiff University.",Vale of Glamorgan
New Year,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr David John PEARSON ,"Deputy Treasury Solicitor, Treasury Solicitor's Department.",Middlesex
New Year,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr John Stephen PITT-BROOKE ,"Director-General Secretariat, Land Forces, Ministry of Defence.  For public and voluntary service.",Wiltshire
New Year,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr David James SMITH ,"Commercial Director, Department for Work and Pensions.  For public and voluntary service.",Surrey
New Year,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Ralph Edwin TABBERER ,"Director-General for Schools, Department for Children, Schools and Families.",Surrey
New Year,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Jennifer ABRAMSKY CBE,"Lately Group Director, BBC Audio and Music.  For services to Broadcasting.",London
New Year,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Prof Sally Claire DAVIES ,"Director of Research and Development, Department of Health.  For services to Medicine.",London
New Year,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Elizabeth FRADD ,For services to Nursing.,Nottinghamshire
New Year,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Prof Wendy HALL CBE,"Professor of Computer Science, University of Southampton.  For services to Science and Technology.",Hampshire
New Year,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Anne Elizabeth OWERS CBE,Her Majesty's Chief Inspector of Prisons.  For services to the Criminal Justice System.,London
New Year,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Rosalind Joy SAVILL CBE,"Director, The Wallace Collection.  For services to the Arts.",London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Charles Benedict AINSLIE OBE,Sailor.  For services to Sport.,Cornwall
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nicholas John BOWD ,"Head of Scottish Procurement Directorate, Scottish Executive.",Renfrewshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Isabelle BOYD ,"Headteacher, Cardinal Newman High School, Bellshill, North Lanarkshire.  For services to Education.",South Lanarkshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David John BRAILSFORD MBE,"Performance Director, British Cycling.  For services to Sport.",Derbyshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Tina BRUCE ,"Visiting Professor of Early Childhood Studies, Roehampton University.  For services to Early Years Education.",Surrey
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alistair BUCHANAN ,"Chief Executive, Office of Gas and Electricity Markets.  For public service.",London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Earl CAMERON ,Actor.  For services to Drama.,Warwickshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Douglas CASTER ,"Chief Executive, Ultra Electronics Holdings plc.  For services to the Defence Industry.",Berkshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael CHANCE ,Opera singer.  For services to Music.,London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Thomas Alastair CLARK ,For services to Central Banking.,Surrey
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Kathleen Louise COSTELOE ,Professor of Paediatrics. For services to Medicine in London,London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John COUGHLAN ,"Director of Children''s Services, Hampshire County Council.  For services to Local Government.",Hampshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Shirley CRAMER ,"Lately National Council Member, Learning and Skills Council and Chief Executive, Dyslexia Action.  For services to Education.",Buckinghamshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Lucy Manuela DE GROOT ,"Executive Director, Improvement and Development Agency.  For services to Local Government.",London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Colin DENNIS DL,For services to the Agri-food Industry.,Warwickshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Keith DINGLE ,"Chief Executive Officer, Carnival UK.  For services to the Shipping Industry.",Kent
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ben Paul Oakley DYSON ,"Director of Primary Care, Department of Health.",London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Leslie Colin EBDON ,"Vice-Chancellor, University of Bedfordshire.  For services to local and national Higher Education.",Hertfordshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith ELLIOTT ,"Principal, City of Bristol College.  For services to Further Education.",Bristol
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard John Hugo FLECK ,"Chair, Auditing Practices Board.  For services to Business and to the Legal Profession.",West Sussex
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David George FLORY ,"Director-General, NHS Finance, Performance and Operations, Department of Health.",Durham
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Christopher FREEMAN ,"Director, Children's Services, Dudley Metropolitan Borough Council.  For services to Local Government.",West Midlands
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Duncan Ian Dunbar GALLIE ,"Official Fellow, Nuffield College, University of Oxford.  For services to Social Science.",Warwickshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Judith Valerie GIBSON ,"Director of Contact Centres, Jobcentre Plus, Department for Work and Pensions.  For public and voluntary service.",Tyne and Wear
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Lesley Anne GLOVER ,Chief Scientific Adviser for Scotland.  For services to Environmental Science.,Aberdeenshire
