,,Birthday Honours List 2011,,,,,
New Year,List,Order,Level,Award,Name,Citation,County
Birthday,2011,Members of the Order of the Companions of Honour,CH,Companion of Honour,Rt Hon Lord  HOWARD OF LYMPNE ,For public and political services.,London
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Professor Roger Michael BOYLE CBE,National Clinical Director for Heart Disease and Stroke.  For services to Medicine.,Surrey
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Dr Henry BURNS ,"Chief Medical Officer for Scotland, Scottish Government.",Renfrewshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Henry CECIL ,Trainer.  For services to Horse Racing.,Suffolk
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Frank CHAPMAN ,"Chief Executive, BG Group. For services to the Oil and Gas Industries.",Surrey
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Professor Robert Geoffrey EDWARDS CBE,"Scientist, Reproductive Biology.  For services to Human Reproductive Biology.",Cambridgeshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Bruce Joseph FORSYTH-JOHNSON CBE,For services to Entertainment and to Charity.,Surrey
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Professor Peter John GREGSON ,"President and Vice-Chancellor, Queen's University Belfast.  For services to Higher Education.",Belfast
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Anthony Gerard HAWKHEAD CBE,"Chief Executive, Groundwork.  For services to Environmental Regeneration.",West Midlands
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr David Hartmann HIGGINS ,"Lately Chief Executive, Olympics Delivery Authority. For services to Regeneration.",London
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Councillor Edward Julian LISTER ,"Leader, Wandsworth Council.  For services to Local Government.",London
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr (Joseph) Alan MEALE MP,For public and political services.,Nottinghamshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr John Wilfred PEACE ,"Chairman, Standard Chartered Bank. For services to Business and to the Voluntary Sector.",Nottinghamshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Dr Hugh Reginald Brentnall PELHAM ,"Director, Laboratory of Molecular Biology, Medical Research Council.  For services to Science.",Cambridgeshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Peter Austin SIMPSON OBE,"Executive Principal, Brooke Weston Partnership Northamptonshire.  For services to Education.",Northamptonshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Professor Steven Murray SMITH ,"Vice-Chancellor, University of Exeter and President, Universities UK.  For services to local and national Higher Education.",Devon
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Brian SOUTER ,"Chief Executive, Stagecoach Group plc.  For services to Transport and to the Voluntary Sector.",Perth and Kinross
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Graham Robert WATSON MEP,For public and political services.,Somerset
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Professor Mark Edward WELLAND ,"Chief Scientific Adviser, Ministry of Defence.",Cambridgeshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,"Mr Paul Michael WILLIAMS OBE, OSTJ, DL","Lately Director-General, Health and Social Services, Welsh Assembly Government and Chief Executive, NHS Wales.",Cardiff
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Mr Christopher Anthony WOODHEAD ,"Chairman, Cognita Schools and Professor of Education, University of Buckingham.  For services to Education.",Shropshire
Birthday,2011,Knighthoods,Kt,Knight Bachelor,Professor Kent Linton WOODS ,"Chief Executive, Medicines and Healthcare Products Regulatory Agency. For services to Healthcare.",Leicestershire
Birthday,2011,Knights Grand Cross of the Order of the Bath,GCB,Knight Grand Cross of the Order of the Bath,Sir Augustine Thomas O'DONNELL KCB,"Cabinet Secretary, Head of the Home Civil Service and Permanent Secretary of the Cabinet Office.",London
Birthday,2011,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr David Robert BELL ,"Permanent Secretary, Department for Education.",London
