New Year Honours List 2016,,,,,
Order,Level,Award,Name,Citation,County
Members of the Order of the Companions of Honour,CH,Companion of Honour,Sir Roy Colin STRONG ,For services to Culture.,Herefordshire
Knighthoods,Kt,Knight Bachelor,Mr Henry Campbell BELLINGHAM ,Member of Parliament for North West Norfolk. For political and parliamentary service.,Norfolk
Knighthoods,Kt,Knight Bachelor,Mr Matthew Christopher BOURNE OBE,Choreographer.  For services to Dance.,London
Knighthoods,Kt,Knight Bachelor,Dr David John COLLINS CBE,Further Education Commissioner.  For services to Further Education.,Gloucestershire
Knighthoods,Kt,Knight Bachelor,Mr Clive COWDERY ,"Philanthropist and Founder, Resolution Foundation.  For services to Children and Social Mobility.",London
Knighthoods,Kt,Knight Bachelor,Mr Lynton Keith CROSBY AO,"Lately Campaign Director, Conservative Party. For political service.",London
Knighthoods,Kt,Knight Bachelor,Professor Paul James CURRAN ,"Vice-Chancellor, City University London.  For services to Higher Education.",London
Knighthoods,Kt,Knight Bachelor,Rt Hon Edward Jonathan DAVEY ,For political and public service.,London
Knighthoods,Kt,Knight Bachelor,Mr Jonathan Stephen DAY CBE,"Lately Chair, Joint Intelligence Committee, Cabinet Office. For public service.",Hampshire
Knighthoods,Kt,Knight Bachelor,Mr William Robert FITTALL ,For services to the Church of England.,Kent
Knighthoods,Kt,Knight Bachelor,Mr Paul Edward GRICE ,"Clerk and Chief Executive, Scottish Parliament. For services to the Scottish Parliament and voluntary service to Higher Education and the community in Scotland.",Edinburgh
Knighthoods,Kt,Knight Bachelor,Dr Michael Graham JACOBS ,"Clinical Lead in Infectious Diseases, Royal Free London NHS Foundation Trust.  For services to the Prevention and Treatment of Infectious Diseases.",London
Knighthoods,Kt,Knight Bachelor,Mr Harpal Singh KUMAR ,"Chief Executive, Cancer Research UK. For services to Cancer Research.",London
Knighthoods,Kt,Knight Bachelor,Mr Steve LANCASHIRE ,"Founder and CEO, REAch2 and Executive Headteacher, Hillyfield Primary Academy, London Borough of Waltham Forest.  For services to Education.",London
Knighthoods,Kt,Knight Bachelor,Mr Martyn John Dudley LEWIS CBE,For services to the Voluntary and Charitable Sectors particularly the Hospice Movement.,London
Knighthoods,Kt,Knight Bachelor,Professor David John Cameron MACKAY ,"Regius Professor of Engineering, Cambridge University Engineering Department. For services to Scientific Advice in Government and Science Outreach.",Cambridgeshire
Knighthoods,Kt,Knight Bachelor,Mr Anthony Peter MCCOY OBE,For services to Horse Racing.,Berkshire
Knighthoods,Kt,Knight Bachelor,Mr Harvey Andrew MCGRATH ,For services to Economic Growth and Public Life.,London
Knighthoods,Kt,Knight Bachelor,Mr David Ronald NORGROVE ,"Chair, Low Pay Commission and Chair, Family Justice Board.  For services to the Low Paid and the Family Justice System.",London
Knighthoods,Kt,Knight Bachelor,Mr Jack PETCHEY CBE,For services to Young People in East London and Essex through the Jack Petchey Foundation.,London
Knighthoods,Kt,Knight Bachelor,Mr Norman Kelvin STOLLER CBE,For philanthropic service.,Cumbria
Knighthoods,Kt,Knight Bachelor,Mr Robert Alexander Talma TALMA STHEEMAN CB,"Chief Executive Officer, Debt Management Office.  For services to UK Government Debt Management.",Surrey
Knighthoods,Kt,Knight Bachelor,Mr (John) Michael Leal UREN OBE,For philanthropic service.,Kent
Knighthoods,Kt,Knight Bachelor,Mr Alan Colin Drake YARROW ,"Lately Lord Mayor of London.  For services to International Business, Inclusion and the City of London.",London
Dames Commander of the Order of the Bath,DCB,Dame Commander of the Order of the Bath,Ms Linda Margaret HOMER CB,"Lately Chief Executive, HM Revenue and Customs. For public service particularly to Public Finance.",Suffolk
Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr Robert DEVEREUX ,"Permanent Secretary, Department for Work and Pensions. For services to Transport and welfare and for voluntary service in Kilburn, London.",London
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Susan Jane BALDWIN ,"Director, Academies and Maintained Schools Group, Department for Education. For services to Education.",London
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Professor Paul Anthony COSFORD ,"Director for Health Protection and Medical Director, Public Health England.  For services to Public Health.",Bedfordshire
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Stephen Leonard GOODING ,"Lately Director-General, Roads, Traffic and Local Group, Department for Transport. For public service to Transport.",West Sussex
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Dr Ruth Mary HUSSEY OBE,"Chief Medical Officer for Wales and Medical Director, NHS Wales. For services to Healthcare.",Merseyside
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Professor Nicholas Robert JENNINGS ,"Chief Scientific Adviser for National Security and Regius Professor, University of Southampton. For services to Computer Science and National Security Science.",Hampshire
Companions of the Order of the Bath,CB,Companion of the Order of the Bath, Clare MORIARTY ,"Lately Director-General, Rail Executive, Department for Transport. For services to Transport.",Hampshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Lesley Jean FALLOWFIELD ,"Director, Sussex Health Outcomes Research and Education in Cancer, University of Sussex.  For services to Psycho-Oncology.",East Sussex
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Judith Elizabeth HACKITT CBE FRENG,"Chair, Health and Safety Executive.  For services to Engineering and Health and Safety.",Oxfordshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Susan JOWETT ,"Chief Executive, The Spencer Academies Trust and Executive Principal, George Spencer Academy, Nottinghamshire. For services to Education.",Nottinghamshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Georgina Mary MACE CBE FRS,"Professor of Biodiversity and Ecosystems and Director, Centre for Biodiversity and Environment Research, University College London. For services to Science.",London
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Natalie Sara MASSENET MBE,"Internet Entrepreneur and Founder, Net-A-Porter Group. For services to the Fashion and Retail Industries.",London
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Carolyn MCCALL OBE,"Chief Executive Officer, easyJet.  For services to the Aviation Industry.",Bedfordshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Henrietta MOORE FBA,"Director, Institute for Global Prosperity and Chair, Culture, Philosophy and Design, University College London. For services to Social Sciences.",London
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Jane Elizabeth Ailwen (Sian) PHILLIPS CBE,Actress.  For services to Drama.,London
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Heather Victoria RABBATTS CBE,For public service and services to Football and Equality.,Kent
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Glenys Jean STACEY ,"Chief Regulator and Chief Executive, Ofqual (Office for Qualifications and Examinations Regulation). For services to Education.",Oxfordshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Margaret Mcrae WHITEHEAD ,"Head, Department of Public Health and Policy, Institute of Psychology, Health and Society, University of Liverpool. For services to Public Health.",Cheshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Miss Barbara WINDSOR MBE,For services to charity and Entertainment.,London
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Rt Hon Rosalie (Rosie) WINTERTON MP,Member of Parliament for Doncaster Central and Opposition Chief Whip. For political and parliamentary service.,South Yorkshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Til Hilary Margaret WYKES ,"Vice-Dean of Psychology and Systems Sciences and Professor of Clinical Psychology and Rehabilitation, King's College London. For services to Clinical Psychology.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Peta Joyce ASH ,"Chief Executive Officer, Southampton Voluntary Services. For services to the Voluntary Sector.",Hampshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard James ATKINS ,"Principal, Exeter College and President, Association of Colleges.  For services to Further Education.",Somerset
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,His Honour Michael Findlay BAKER QC DL,"Lately Resident Judge, Crown Court, St Albans and Deputy Circuit Judge.  For services to the Administration of Justice and to the community in Hertfordshire",Hertfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Phyllida BARLOW ,Sculptor.  For services to Art.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Rhona Julia BARNFIELD ,"Chief Executive Officer, The Howard Partnership Trust and Executive Head, Howard of Effingham School and Thomas Knyvett College, Surrey.  For services to Education.",Surrey
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John BAXTER ,"Lately, Group Head of Engineering, BP International plc.  For services to Engineering, Education and the Energy Sector.",Berkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Graham John BEALE ,"Chief Executive Officer, Nationwide Building Society.  For services to the Financial Services Sector.",Somerset
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Fredrick BEHRENS ,"Chief Executive and Independent Adjudicator, Office of the Independent Adjudicator for Higher Education. For services to Higher Education.",Hertfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Viv BENNETT ,"Chief Nurse, Public Health England.  For services to Nursing.",Oxfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Guy Gibson BERINGER ,"Non-Executive Chairman, UK Export Finance.  For services to Export Finance and Pro Bono Work in the Legal Sector.",Surrey
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Conrad BIRD ,"Director, GREAT Britain Campaign. For services to UK Government Communications and Trade.",London
