Birthday,2009,Knighthoods,Kt,Knight Bachelor,Prof Charles Duncan RICE ,"Principal and Vice-Chancellor, University of Aberdeen.  For services to Higher Education.",Aberdeen
Birthday,2009,Dames Commander of the Order of the Bath,DCB,Dame Commander of the Order of the Bath,Ms Karen Hope DUNNELL ,"National Statistician, Office for National Statistics.",Gwent
Birthday,2009,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr Hugh Henderson TAYLOR CB,"Permanent Secretary, Department of Health.",London
Birthday,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Desmond John BOWEN CMG,"Senior Civil Servant, Ministry of Defence.",London
Birthday,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Roger BRIGHT ,"Chief Executive, The Crown Estate.  For public service.",Surrey
Birthday,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Graham DONALDSON ,"Senior Chief Inspector, HM Inspectorate of Education, Scottish Executive.",East Lothian
Birthday,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Victor HOGG ,"Deputy Director General, Crime and Policing, Home Office.",Hampshire
Birthday,2009,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mrs Vicky PRYCE ,"Director-General Economics and Joint Head, Government Economic Service, Department for Business, Enterprise and Regulatory Reform.",London
Birthday,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Barbara Ann HAKIN OBE,"Chief Executive, NHS East Midlands Strategic Health Authority.  For services to Healthcare.",West Yorkshire
Birthday,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Prof Linda PARTRIDGE CBE,"Weldon Professor of Biometry and Director, Institute of Healthy Ageing, University College London.  For services to Science.",London
Birthday,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Gail Ruth REBUCK CBE,"Chair and Chief Executive, the Random House Group UK.  For services to the Publishing Industry.",London
Birthday,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Philippa Margaret RUSSELL CBE,"For services to Disabled Children, Young People and Family Carers.",London
Birthday,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Prof Joan Kathleen STRINGER CBE,"Principal and Vice-Chancellor, Edinburgh Napier University.  For services to local and national Higher Education.",Edinburgh
Birthday,2009,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Miss Mitsuko UCHIDA CBE,Pianist.  For services to Classical Music.,London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Anas AL-SHAIKH ALI ,"Academic Advisor, London Office, International Institute of Islamic Thought.  For services to Community Relations.",Surrey
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Sarah ANDREWS ,"Director of Nursing, Eastern Coastal Kent Primary Care Trust.  For services to Healthcare.",Kent
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Andrew ASHWORTH ,"Chairman, Sentencing Advisory Panel.  For services to the Administration of Justice.",Oxfordshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Narendra BAJARIA ,For services to Urban and Rural Planning and to the Peak District National Park.,South Yorkshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Nicholas Martin Limer BARNES ,For services to Civil Engineering.,Oxfordshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Carol Elaine BAXTER ,"Head of Equality and Diversity, NHS Employers.  For services to Equal Opportunities.",Greater Manchester
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith Leonard BEDELL-PEARCE ,"Chairman, Directgov.  For public service.",Surrey
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael John BELL ,"Lately Group Director of Safety Regulation, Civil Aviation Authority.  For services to the Aviation Industry.",West Sussex
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Cicely Frances BERRY OBE,"Voice Director, Royal Shakespeare Company.  For services to Drama.",Warwickshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Penelope Jane BEVAN ,"Director of Emergency Preparedness Division, Department of Health.",London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Graham BLANCHFLOWER ,"For services to Economics and to the Monetary Policy Committee, Bank of England.",United States
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael Thomas BRACE OBE,"Lately Chairman, Paralympics GB.  For services to Disabled Sport.",Essex
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Rev Dr Stuart John BURGESS ,"Chairman, Commission for Rural Communities.  For public and voluntary service.",West Midlands
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Yvonne Helen CARTER OBE,"Pro-Vice-Chancellor for Regional Engagement, University of Warwick.  For services to Medical Education.",Warwickshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher John Adrian CHIVERS ,Lately Chief Inspector of Criminal Justice.  For services to the Administration of Justice in Northern Ireland.,Down
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Roy CLARK QPM,"Director, Criminal Investigations, HM Revenue and Customs.",Middlesex
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Michael CLARKE ,"Director, National Gallery of Scotland.  For services to the Visual Arts.",Edinburgh
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Stephen CLEOBURY ,"Director of Music, King's College, University of Cambridge.  For services to Music.",Hertfordshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nicholas David COLERIDGE ,"Managing Director, Condé Nast UK.  For services to the Magazine Publishing Industry.",London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Francis COLLINS ,"Lately Deliverer of the Vote, House of Commons.",Hertfordshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Paul David CORRIGAN ,Management Consultant and Executive Coach. For services to Healthcare.,London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Anne DELL ,"Professor of Carbohydrate Biochemistry, Imperial College London.  For services to Science.",London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James Robert DRUMMOND ,"Director for South Asia, Department for International Development.",Surrey
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Lindsay Vere DUNCAN ,Actor.  For services to Drama.,London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Steven EDWARDS ,"Lately Chief Executive, Veterinary Laboratories Agency, Department for Environment, Food and Rural Affairs.",Herefordshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James FRENCH ,"Chairman and Chief Executive Officer, Flybe.  For services to the Airline Industry.",Devon
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Margaret GALLIERS ,"Principal, Leicester College. For services to local and national Further Education.",West Midlands
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen John GERAGHTY ,"Commissioner, Child Maintenance Enforcement Commission, Department for Work and Pensions.",West Yorkshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Lynn Faith GLADDEN OBE,"Shell Professor of Chemical Engineering and Head, Department of Chemical Engineering and Biotechnology, University of Cambridge.  For services to Science.",Cambridgeshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr William James GUNNYEON ,"Director, Health, Work and Wellbeing and Chief Medical Adviser, Department for Work and Pensions.",Aberdeenshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter HAWTHORNE ,"Head of 14-19 Development, Wolverhampton City Council.  For services to Education and to Local Government.",West Midlands
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alastair HIGNELL ,Lately Rugby Commentator.  For services to Sport and to Charity.,Gloucestershire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Susan Katrina HODGKISS DL,"Chair, William Hare Ltd.  For services to Industry and to the community in the North West.",West Yorkshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr William Frederick HUGHES QPM,For services to Law Enforcement.,London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Judith Ann HULF ,"Consultant Anaesthetist, University College London Hospitals NHS Foundation Trust and President, Royal College of Anaesthetists. For services to Medicine.",London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs June JACOBS ,For services to Human Rights and to Inter-Faith Relations.,London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Dean JAMES ,"Chief Operating Officer, Corporate IT, Department for Work and Pensions.  For public and voluntary service.",London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Henry KELLAS ,"Lately Chairman, International Auditing and Assurance Standards Board.  For services to the Accountancy Profession.",Surrey
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Rosemary Margaret KENNEDY TD,"Chief Nursing Officer for Wales, Welsh Assembly Government.  For public and voluntary service.",Monmouthshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Arthur KING ,"Lately Chief Executive, British Cycling Federation.  For services to Sport.",Surrey
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Christopher John LAMB ,"Director, John Innes Centre, Norwich.  For services to Plant Science.",Norfolk
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Patricia Anne LANGHAM ,"Headmistress, Wakefield Girls' High School and Co-Chair, Independent and State Schools Partnership Forum. For services to local and national Education.",West Yorkshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alastair LANSLEY ,Architect.  For services to Public Transport Architecture.,Surrey
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Quentin John LEIPER ,"Group Chief Engineering, Carillion plc and President, Institution of Civil Engineers.  For services to the Sustainability Agenda",Shropshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Paul MARTIN ,"Chief Social Services Officer, Department of Health and Social Services, Northern Ireland Executive.  For public and voluntary service.",
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Brian MCALINDEN ,"Headteacher, Castlemilk High School, Glasgow.  For services to Education.",Glasgow
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Paula MCDONALD ,"Deputy Director, Economic and Domestic Affairs Secretariat, Cabinet Office.",London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Judy MCKNIGHT OBE,For services to Trade Unions and to Equal Opportunities.,London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Very Rev Dr Andrew Rankin Cowie MCLELLAN ,HM Chief Inspector of Prisons for Scotland.,Fife
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Elaine MCMAHON ,"Chief Executive and Principal, Hull Group of Colleges. For services to local and national Further Education.",East Riding of Yorkshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Isabella MCNALLY ,"Principal, Fountain Primary School, Londonderry. For services to Education in Northern Ireland.",Londonderry
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor John MERRY ,"Leader, Salford City Council.  For services to Local Government.",Greater Manchester
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David MLINARIC ,For services to Interior Design and to Heritage.,Somerset
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Shaukat MOLEDINA ,For services to Social Housing and to Charity.,South Yorkshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Lindsay Stuart William MONTGOMERY ,"Chief Executive, Scottish Legal Aid Board. For services to the Administration of Justice.",Berwickshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John O'NEILL ,"Director of Social Security Policy and Legislation Division, Department for Social Development, Northern Ireland Executive.  For public and voluntary service.",Belfast
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen John POLLARD ,"Director Commercial, Directorate General Saudi Armed Forces Projects, Ministry of Defence.",Kent
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Simon John PRESTON OBE,Organist.  For services to Classical Music.,Kent
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Katharine Bridget PRETTY ,"Principal, Homerton College, Cambridge and Pro-Vice-Chancellor, University of Cambridge. For services to Higher Education.",Cambridgeshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Sir William Henry PROBY DL,"Lately Chairman, National Trust.  For services to Conservation and to Heritage.",Cambridgeshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan PRYCE ,Actor.  For services to Drama.,London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Alice Loretto QUINN ,"Chair, Health Promotion Agency Northern Ireland. For services to Healthcare.",Belfast
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr June Munro RAINE ,"Director, Vigilance and Risk Management of Medicines, Medicines and Healthcare Products Regulatory Agency, Department of Health.",Hertfordshire
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Joyce REDFEARN ,"Chief Executive, Wigan Borough Council.  For services to Local Government.",Greater Manchester
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Elizabeth Rushton REDFERN ,"Director, Patient Care and Nursing, South West Strategic Health Authority. For services to Healthcare.",Somerset
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Philip Francis ROBINSON ,"Managing Director, SELEX Communications Ltd.  For services to the Defence Industry.",Essex
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Guy RYDER ,For services to International Trade Unionism.,1210 Brussels
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Patricia SAMUEL ,"Deputy Director, Public Sector Partnerships, Office of the Third Sector, Cabinet Office.  For public and voluntary service.",London
Birthday,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter SARAGA OBE,"Vice-President, Royal Academy of Engineering and Lately President, Institute of Physics.  For services to Science and to Engineering.",London
