New Year,2013,Members of the Order of the Companions of Honour,CH,Companion of Honour,Lord Sebastian Newbold COE KBE,"Chair, LOCOG.  For services to the London 2012 Olympic and Paralympic Games.",Surrey
New Year,2013,Members of the Order of the Companions of Honour,CH,Companion of Honour,Professor Peter Ware HIGGS ,"Emeritus Professor of Theoretical Physics, University of Edinburgh.  For services to Physics.",Edinburgh
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Charles Benedict AINSLIE CBE,Finn Sailor.  For services to Sailing.,Cornwall
New Year,2013,Knighthoods,Kt,Knight Bachelor,Professor George Thomas BERWICK CBE,"Headteacher, Ravens Wood School, Bromley, Kent.  For services to Education.",Essex
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Quentin Saxby BLAKE CBE,Illustrator.  For services to Illustration.,London
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr David John BRAILSFORD CBE,"Performance Director, British Cycling.  For services to Cycling and the London 2012 Olympic and Paralympic Games.",Derbyshire
New Year,2013,Knighthoods,Kt,Knight Bachelor,Professor Keith BURNETT CBE,"Vice-Chancellor, University of Sheffield.  For services to Science and Higher Education.",South Yorkshire
New Year,2013,Knighthoods,Kt,Knight Bachelor,Professor Ian David DIAMOND FBA FRSE,"Principal and Vice-Chancellor, University of Aberdeen.  For services to Social Science and Higher Education.",Aberdeen
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Kenneth Henry GRANGE CBE,Industrial Designer.  For services to Design.,London
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Michael Aron HELLER ,Philanthropist.  For charitable services.,London
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Peter Gerard HENDY CBE,"Commissioner, Transport for London.  For services to Transport and the community.",Somerset
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Bernard HOGAN-HOWE QPM,"Commissioner, Metropolitan Police.  For services to Policing.",Dorset
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr John Mark Nicholas LEIGHTON ,"Director General, National Galleries of Scotland.  For services to Art.",Edinburgh
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Martin James NAREY ,Ministerial Adviser on Adoption. For services to Vulnerable People.,North Yorkshire
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Robert Stephen O'BRIEN CBE,"Chairman, Barts and London NHS Trust.  For services to Healthcare and to the community in London.",Essex
New Year,2013,Knighthoods,Kt,Knight Bachelor,Professor David Neil PAYNE CBE,"Director, Optoelectronics Research Centre, University of Southampton.  For services to Photonics Research and Applications.",Hampshire
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Hector William Hepburn SANTS ,"Lately Chief Executive Officer, Financial Services Authority.  For services to Financial Services and Regulation.",Oxfordshire
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Richard Charles Scrimgeour SHEPHERD MP,Member of Parliament for Aldridge Brownhill.  For public service.,West Midlands
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Martin Gregory SMITH ,"Philanthropist.  For charitable services to Education, Science and the Arts.",Oxfordshire
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr Christopher STONE ,"Executive Headteacher, The Arthur Terry and Stockland Green Schools, Birmingham.  For services to Education.",West Midlands
New Year,2013,Knighthoods,Kt,Knight Bachelor,Professor Hew Francis Anthony STRACHAN DL,"Chichele Professor of the History of War, All Souls Oxford.  For services to the Ministry of Defence.",Lanarkshire
New Year,2013,Knighthoods,Kt,Knight Bachelor,Mr David Whitlock TANNER CBE,"Performance Director, British Rowing.  For services to Rowing and the London 2012 Olympic and Paralympic Games.",London
